Contig,Gene,site_pos,Species,Peak number,SNV position (genome),Gene product,GO annotation,Pathway,iLDS,Data type
NC_010655,349741.6.peg.1391,1476308,Akkermansia_muciniphila_55290,2,1476308,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),GO:0003887|DNA-directed DNA polymerase activity,00230|Purine metabolism;00240|Pyrimidine metabolism,0.041624571,QP metagenomes
NC_010655,349741.6.peg.1391,1476734,Akkermansia_muciniphila_55290,2,1476734,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),GO:0003887|DNA-directed DNA polymerase activity,00230|Purine metabolism;00240|Pyrimidine metabolism,0.052155892,QP metagenomes
NC_010655,349741.6.peg.2222,2366910,Akkermansia_muciniphila_55290,3,2366910,Aminodeoxychorismate lyase (EC 4.1.3.38),GO:0008696|4-amino-4-deoxychorismate lyase activity,00790|Folate biosynthesis,0.064835957,QP metagenomes
NC_010655,349741.6.peg.2223,2367931,Akkermansia_muciniphila_55290,3,2367931,"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)",GO:0046820|4-amino-4-deoxychorismate synthase activity,00790|Folate biosynthesis,0.067124305,QP metagenomes
NC_010655,349741.6.peg.2226,2370914,Akkermansia_muciniphila_55290,3,2370914,"ABC transporter, permease protein",,,0.063913007,QP metagenomes
NC_010655,349741.6.peg.2222,2367078,Akkermansia_muciniphila_55290,3,2367078,Aminodeoxychorismate lyase (EC 4.1.3.38),GO:0008696|4-amino-4-deoxychorismate lyase activity,00790|Folate biosynthesis,0.063875202,QP metagenomes
ARFY01000019,1120974.3.peg.527,66597,Alistipes_onderdonkii_55464,1,517131,hypothetical protein,,,0.079334863,QP metagenomes
ARFY01000019,1120974.3.peg.527,67047,Alistipes_onderdonkii_55464,1,517581,hypothetical protein,,,0.111210571,QP metagenomes
ARFY01000019,1120974.3.peg.527,67103,Alistipes_onderdonkii_55464,1,517637,hypothetical protein,,,0.17152439,QP metagenomes
ARFY01000019,1120974.3.peg.527,68549,Alistipes_onderdonkii_55464,1,519083,hypothetical protein,,,0.13963951,QP metagenomes
ARFY01000021,1120974.3.peg.724,86573,Alistipes_onderdonkii_55464,2,738698,hypothetical protein,,,0.160744574,QP metagenomes
ARFY01000021,1120974.3.peg.725,86685,Alistipes_onderdonkii_55464,2,738810,hypothetical protein,,,0.143265066,QP metagenomes
ARFY01000021,1120974.3.peg.724,86483,Alistipes_onderdonkii_55464,2,738608,hypothetical protein,,,0.144816647,QP metagenomes
ARFY01000021,1120974.3.peg.727,89431,Alistipes_onderdonkii_55464,2,741556,hypothetical protein,,,0.128936734,QP metagenomes
ARFY01000021,1120974.3.peg.725,87137,Alistipes_onderdonkii_55464,2,739262,hypothetical protein,,,0.132149747,QP metagenomes
ARFY01000023,1120974.3.peg.940,115769,Alistipes_onderdonkii_55464,3,998601,hypothetical protein,,,0.115905281,QP metagenomes
ARFY01000023,1120974.3.peg.940,115816,Alistipes_onderdonkii_55464,3,998648,hypothetical protein,,,0.104857305,QP metagenomes
ARFY01000023,1120974.3.peg.940,115898,Alistipes_onderdonkii_55464,3,998730,hypothetical protein,,,0.105798665,QP metagenomes
ARFY01000023,1120974.3.peg.940,116044,Alistipes_onderdonkii_55464,3,998876,hypothetical protein,,,0.117409936,QP metagenomes
ARFY01000023,1120974.3.peg.940,116096,Alistipes_onderdonkii_55464,3,998928,hypothetical protein,,,0.113410915,QP metagenomes
ARFY01000023,1120974.3.peg.940,116666,Alistipes_onderdonkii_55464,3,999498,hypothetical protein,,,0.066316977,QP metagenomes
ARFY01000023,1120974.3.peg.940,116674,Alistipes_onderdonkii_55464,3,999506,hypothetical protein,,,0.048455703,QP metagenomes
ARFY01000023,1120974.3.peg.940,117053,Alistipes_onderdonkii_55464,3,999885,hypothetical protein,,,0.054222485,QP metagenomes
ARFY01000023,1120974.3.peg.940,117134,Alistipes_onderdonkii_55464,3,999966,hypothetical protein,,,0.064043451,QP metagenomes
ARFY01000023,1120974.3.peg.940,117221,Alistipes_onderdonkii_55464,3,1000053,hypothetical protein,,,0.045425477,QP metagenomes
ARFY01000024,1120974.3.peg.1004,55347,Alistipes_onderdonkii_55464,4,1063405,hypothetical protein,,,0.18146781,QP metagenomes
ARFY01000024,1120974.3.peg.1004,55370,Alistipes_onderdonkii_55464,4,1063428,hypothetical protein,,,0.183168445,QP metagenomes
ARFY01000024,1120974.3.peg.1005,56341,Alistipes_onderdonkii_55464,4,1064399,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),GO:0030272|5-formyltetrahydrofolate cyclo-ligase activity,00670|One carbon pool by folate,0.212967668,QP metagenomes
ARFY01000024,1120974.3.peg.1007,57349,Alistipes_onderdonkii_55464,4,1065407,Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1),GO:0008177|succinate dehydrogenase (ubiquinone) activity,00020|Citrate cycle (TCA cycle);00190|Oxidative phosphorylation,0.192320361,QP metagenomes
ARFY01000024,1120974.3.peg.1007,57492,Alistipes_onderdonkii_55464,4,1065550,Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1),GO:0008177|succinate dehydrogenase (ubiquinone) activity,00020|Citrate cycle (TCA cycle);00190|Oxidative phosphorylation,0.20368135,QP metagenomes
ARFY01000024,1120974.3.peg.1017,65185,Alistipes_onderdonkii_55464,4,1073243,hypothetical protein,,,0.206017657,QP metagenomes
ARFY01000024,1120974.3.peg.1017,65216,Alistipes_onderdonkii_55464,4,1073274,hypothetical protein,,,0.236250048,QP metagenomes
ARFY01000024,1120974.3.peg.1017,65335,Alistipes_onderdonkii_55464,4,1073393,hypothetical protein,,,0.210175412,QP metagenomes
ARFY01000024,1120974.3.peg.1017,65344,Alistipes_onderdonkii_55464,4,1073402,hypothetical protein,,,0.224947086,QP metagenomes
ARFY01000024,1120974.3.peg.1017,65732,Alistipes_onderdonkii_55464,4,1073790,hypothetical protein,,,0.234165623,QP metagenomes
ARFY01000024,1120974.3.peg.1018,66775,Alistipes_onderdonkii_55464,4,1074833,6-phosphofructokinase (EC 2.7.1.11),GO:0003872|6-phosphofructokinase activity,00010|Glycolysis / Gluconeogenesis;00030|Pentose phosphate pathway;00051|Fructose and mannose metabolism;00052|Galactose metabolism;00680|Methane metabolism,0.221774611,QP metagenomes
ARFY01000024,1120974.3.peg.1020,67973,Alistipes_onderdonkii_55464,4,1076031,hypothetical protein,,,0.223304274,QP metagenomes
ARFY01000024,1120974.3.peg.1020,68268,Alistipes_onderdonkii_55464,4,1076326,hypothetical protein,,,0.182327893,QP metagenomes
ARFY01000024,1120974.3.peg.1020,68669,Alistipes_onderdonkii_55464,4,1076727,hypothetical protein,,,0.187281011,QP metagenomes
ARFY01000024,1120974.3.peg.1020,69060,Alistipes_onderdonkii_55464,4,1077118,hypothetical protein,,,0.201612438,QP metagenomes
ARFY01000024,1120974.3.peg.1020,69153,Alistipes_onderdonkii_55464,4,1077211,hypothetical protein,,,0.174406949,QP metagenomes
ARFY01000024,1120974.3.peg.1020,69159,Alistipes_onderdonkii_55464,4,1077217,hypothetical protein,,,0.169934374,QP metagenomes
ARFY01000024,1120974.3.peg.1143,204546,Alistipes_onderdonkii_55464,5,1212604,"Transcriptional regulator, Xre family",,,0.234647585,QP metagenomes
ARFY01000024,1120974.3.peg.1137,200391,Alistipes_onderdonkii_55464,5,1208449,"Transcriptional regulator, AraC family",,,0.174593582,QP metagenomes
ARFY01000024,1120974.3.peg.1137,200236,Alistipes_onderdonkii_55464,5,1208294,"Transcriptional regulator, AraC family",,,0.177146692,QP metagenomes
ARFY01000024,1120974.3.peg.1141,203016,Alistipes_onderdonkii_55464,5,1211074,Acetyl-CoA synthetase (EC 6.2.1.1),GO:0003987|acetate-CoA ligase activity,00010|Glycolysis / Gluconeogenesis;00620|Pyruvate metabolism;00640|Propanoate metabolism;00680|Methane metabolism;00720|Reductive carboxylate cycle (CO2 fixation),0.187001509,QP metagenomes
ARFY01000024,1120974.3.peg.1150,211636,Alistipes_onderdonkii_55464,5,1219694,Na+/H+ antiporter NhaA type,,,0.249764908,QP metagenomes
ARFY01000024,1120974.3.peg.1148,209688,Alistipes_onderdonkii_55464,5,1217746,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8),GO:0003755|peptidyl-prolyl cis-trans isomerase activity,,0.236506196,QP metagenomes
ARFY01000024,1120974.3.peg.1136,199213,Alistipes_onderdonkii_55464,5,1207271,hypothetical protein,,,0.189194099,QP metagenomes
ARFY01000024,1120974.3.peg.1150,211693,Alistipes_onderdonkii_55464,5,1219751,Na+/H+ antiporter NhaA type,,,0.285659129,QP metagenomes
ARFY01000024,1120974.3.peg.1141,203881,Alistipes_onderdonkii_55464,5,1211939,Acetyl-CoA synthetase (EC 6.2.1.1),GO:0003987|acetate-CoA ligase activity,00010|Glycolysis / Gluconeogenesis;00620|Pyruvate metabolism;00640|Propanoate metabolism;00680|Methane metabolism;00720|Reductive carboxylate cycle (CO2 fixation),0.195479972,QP metagenomes
ARFY01000024,1120974.3.peg.1150,211656,Alistipes_onderdonkii_55464,5,1219714,Na+/H+ antiporter NhaA type,,,0.244743818,QP metagenomes
ARFY01000024,1120974.3.peg.1147,209426,Alistipes_onderdonkii_55464,5,1217484,Acetyltransferase,,,0.234590988,QP metagenomes
ARFY01000024,1120974.3.peg.1136,199129,Alistipes_onderdonkii_55464,5,1207187,hypothetical protein,,,0.165706074,QP metagenomes
ARFY01000024,1120974.3.peg.1205,274209,Alistipes_onderdonkii_55464,6,1282267,hypothetical protein,,,0.084027313,QP metagenomes
ARFY01000024,1120974.3.peg.1205,274210,Alistipes_onderdonkii_55464,6,1282268,hypothetical protein,,,0.087470236,QP metagenomes
ARFY01000024,1120974.3.peg.1205,274586,Alistipes_onderdonkii_55464,6,1282644,hypothetical protein,,,0.105405024,QP metagenomes
ARFY01000026,1120974.3.peg.1313,113363,Alistipes_onderdonkii_55464,7,1423796,"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",,,0.160569694,QP metagenomes
ARFY01000026,1120974.3.peg.1313,113931,Alistipes_onderdonkii_55464,7,1424364,"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",,,0.135872903,QP metagenomes
ARFY01000026,1120974.3.peg.1313,114012,Alistipes_onderdonkii_55464,7,1424445,"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",,,0.14525268,QP metagenomes
ARFY01000026,1120974.3.peg.1313,114564,Alistipes_onderdonkii_55464,7,1424997,"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",,,0.127716779,QP metagenomes
ARFY01000026,1120974.3.peg.1313,114770,Alistipes_onderdonkii_55464,7,1425203,"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",,,0.113200085,QP metagenomes
ARFY01000027,1120974.3.peg.1604,163720,Alistipes_onderdonkii_55464,8,1759273,Pyruvate formate-lyase activating enzyme (EC 1.97.1.4),GO:0043365|[formate-C-acetyltransferase]-activating enzyme activity,,0.123265407,QP metagenomes
ARFY01000027,1120974.3.peg.1602,160630,Alistipes_onderdonkii_55464,8,1756183,hypothetical protein,,,0.139592775,QP metagenomes
ARFY01000027,1120974.3.peg.1642,224109,Alistipes_onderdonkii_55464,9,1819662,hypothetical protein,,,0.103834369,QP metagenomes
ARFY01000027,1120974.3.peg.1642,224073,Alistipes_onderdonkii_55464,9,1819626,hypothetical protein,,,0.106702548,QP metagenomes
ARFY01000027,1120974.3.peg.1644,224966,Alistipes_onderdonkii_55464,9,1820519,"Transcriptional regulator, GntR family",,,0.122590359,QP metagenomes
ARFY01000027,1120974.3.peg.1671,257010,Alistipes_onderdonkii_55464,10,1852563,"Putative glycogen debranching enzyme, archaeal type, TIGR01561",,,0.09022363,QP metagenomes
ARFY01000027,1120974.3.peg.1671,257064,Alistipes_onderdonkii_55464,10,1852617,"Putative glycogen debranching enzyme, archaeal type, TIGR01561",,,0.072447717,QP metagenomes
ARFY01000027,1120974.3.peg.1671,257165,Alistipes_onderdonkii_55464,10,1852718,"Putative glycogen debranching enzyme, archaeal type, TIGR01561",,,0.102108409,QP metagenomes
ARFY01000027,1120974.3.peg.1671,257172,Alistipes_onderdonkii_55464,10,1852725,"Putative glycogen debranching enzyme, archaeal type, TIGR01561",,,0.103442626,QP metagenomes
ARFY01000028,1120974.3.peg.1805,89021,Alistipes_onderdonkii_55464,11,2007139,"RND efflux system, inner membrane transporter",,,0.070787876,QP metagenomes
ARFY01000028,1120974.3.peg.1809,93094,Alistipes_onderdonkii_55464,11,2011212,Fructose-bisphosphate aldolase class I (EC 4.1.2.13),GO:0004332|fructose-bisphosphate aldolase activity,00010|Glycolysis / Gluconeogenesis;00030|Pentose phosphate pathway;00051|Fructose and mannose metabolism;00680|Methane metabolism;00710|Carbon fixation in photosynthetic organisms,0.117815568,QP metagenomes
ARFY01000028,1120974.3.peg.1805,88948,Alistipes_onderdonkii_55464,11,2007066,"RND efflux system, inner membrane transporter",,,0.071422202,QP metagenomes
ARFY01000028,1120974.3.peg.1809,93145,Alistipes_onderdonkii_55464,11,2011263,Fructose-bisphosphate aldolase class I (EC 4.1.2.13),GO:0004332|fructose-bisphosphate aldolase activity,00010|Glycolysis / Gluconeogenesis;00030|Pentose phosphate pathway;00051|Fructose and mannose metabolism;00680|Methane metabolism;00710|Carbon fixation in photosynthetic organisms,0.094712009,QP metagenomes
ARFY01000028,1120974.3.peg.1808,92957,Alistipes_onderdonkii_55464,11,2011075,"Transcriptional regulator, AraC family",,,0.122553831,QP metagenomes
ARFY01000028,1120974.3.peg.1816,100283,Alistipes_onderdonkii_55464,11,2018401,Flavodoxin,,,0.079144991,QP metagenomes
ARFY01000028,1120974.3.peg.1809,93141,Alistipes_onderdonkii_55464,11,2011259,Fructose-bisphosphate aldolase class I (EC 4.1.2.13),GO:0004332|fructose-bisphosphate aldolase activity,00010|Glycolysis / Gluconeogenesis;00030|Pentose phosphate pathway;00051|Fructose and mannose metabolism;00680|Methane metabolism;00710|Carbon fixation in photosynthetic organisms,0.135704312,QP metagenomes
ARFY01000028,1120974.3.peg.1816,100366,Alistipes_onderdonkii_55464,11,2018484,Flavodoxin,,,0.084592408,QP metagenomes
ARFY01000028,1120974.3.peg.1816,100503,Alistipes_onderdonkii_55464,11,2018621,Flavodoxin,,,0.112699701,QP metagenomes
ARFY01000028,1120974.3.peg.1807,92062,Alistipes_onderdonkii_55464,11,2010180,hypothetical protein,,,0.098613052,QP metagenomes
ARFY01000028,1120974.3.peg.1805,89402,Alistipes_onderdonkii_55464,11,2007520,"RND efflux system, inner membrane transporter",,,0.109776225,QP metagenomes
ARFY01000028,1120974.3.peg.1807,92070,Alistipes_onderdonkii_55464,11,2010188,hypothetical protein,,,0.118148954,QP metagenomes
ARFY01000028,1120974.3.peg.1814,98933,Alistipes_onderdonkii_55464,11,2017051,4-carboxymuconolactone decarboxylase (EC 4.1.1.44),GO:0047575|4-carboxymuconolactone decarboxylase activity,00362|Benzoate degradation via hydroxylation,0.065012238,QP metagenomes
ARFY01000028,1120974.3.peg.1805,88832,Alistipes_onderdonkii_55464,11,2006950,"RND efflux system, inner membrane transporter",,,0.062305234,QP metagenomes
ARFY01000028,1120974.3.peg.1929,229522,Alistipes_onderdonkii_55464,12,2147640,FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26),GO:0003919|FMN adenylyltransferase activity;GO:0008531|riboflavin kinase activity,00740|Riboflavin metabolism,0.125474561,QP metagenomes
ARFY01000028,1120974.3.peg.1929,229907,Alistipes_onderdonkii_55464,12,2148025,FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26),GO:0003919|FMN adenylyltransferase activity;GO:0008531|riboflavin kinase activity,00740|Riboflavin metabolism,0.133414188,QP metagenomes
ARFY01000028,1120974.3.peg.1991,318979,Alistipes_onderdonkii_55464,13,2237097,"Cell-division-associated, ABC-transporter-like signaling protein FtsE",,,0.073179857,QP metagenomes
ARFY01000028,1120974.3.peg.1991,319039,Alistipes_onderdonkii_55464,13,2237157,"Cell-division-associated, ABC-transporter-like signaling protein FtsE",,,0.079735761,QP metagenomes
ARFY01000028,1120974.3.peg.1991,319153,Alistipes_onderdonkii_55464,13,2237271,"Cell-division-associated, ABC-transporter-like signaling protein FtsE",,,0.088556054,QP metagenomes
ARFY01000028,1120974.3.peg.1992,320125,Alistipes_onderdonkii_55464,13,2238243,DNA gyrase subunit B (EC 5.99.1.3),GO:0003918|DNA topoisomerase type II (ATP-hydrolyzing) activity,,0.106349084,QP metagenomes
ARFY01000028,1120974.3.peg.1992,320336,Alistipes_onderdonkii_55464,13,2238454,DNA gyrase subunit B (EC 5.99.1.3),GO:0003918|DNA topoisomerase type II (ATP-hydrolyzing) activity,,0.098215252,QP metagenomes
ARFY01000028,1120974.3.peg.1992,320352,Alistipes_onderdonkii_55464,13,2238470,DNA gyrase subunit B (EC 5.99.1.3),GO:0003918|DNA topoisomerase type II (ATP-hydrolyzing) activity,,0.085078529,QP metagenomes
ARFY01000028,1120974.3.peg.1992,320465,Alistipes_onderdonkii_55464,13,2238583,DNA gyrase subunit B (EC 5.99.1.3),GO:0003918|DNA topoisomerase type II (ATP-hydrolyzing) activity,,0.073893088,QP metagenomes
ARFY01000028,1120974.3.peg.1995,324081,Alistipes_onderdonkii_55464,13,2242199,DNA mismatch repair protein MutS,,,0.070884327,QP metagenomes
ARFY01000028,1120974.3.peg.1996,326499,Alistipes_onderdonkii_55464,13,2244617,G:T/U mismatch-specific uracil/thymine DNA-glycosylase (EC 3.2.2.27),,,0.071014912,QP metagenomes
ARFY01000028,1120974.3.peg.1996,326591,Alistipes_onderdonkii_55464,13,2244709,G:T/U mismatch-specific uracil/thymine DNA-glycosylase (EC 3.2.2.27),,,0.074584379,QP metagenomes
ARFY01000029,1120974.3.peg.2151,141709,Alistipes_onderdonkii_55464,14,2417916,hypothetical protein,,,0.090095543,QP metagenomes
ARFY01000029,1120974.3.peg.2151,142056,Alistipes_onderdonkii_55464,14,2418263,hypothetical protein,,,0.136923532,QP metagenomes
ARFY01000029,1120974.3.peg.2151,142058,Alistipes_onderdonkii_55464,14,2418265,hypothetical protein,,,0.162639723,QP metagenomes
ARFY01000029,1120974.3.peg.2151,142094,Alistipes_onderdonkii_55464,14,2418301,hypothetical protein,,,0.175958802,QP metagenomes
ARFY01000029,1120974.3.peg.2151,142159,Alistipes_onderdonkii_55464,14,2418366,hypothetical protein,,,0.166398726,QP metagenomes
ARFY01000029,1120974.3.peg.2152,142254,Alistipes_onderdonkii_55464,14,2418461,hypothetical protein,,,0.132151633,QP metagenomes
ARFY01000029,1120974.3.peg.2152,142265,Alistipes_onderdonkii_55464,14,2418472,hypothetical protein,,,0.120653875,QP metagenomes
ARFY01000030,1120974.3.peg.2412,52616,Alistipes_onderdonkii_55464,15,2759652,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23),GO:0004590|orotidine-5'-phosphate decarboxylase activity,00240|Pyrimidine metabolism,0.054197057,QP metagenomes
ARFY01000030,1120974.3.peg.2413,53436,Alistipes_onderdonkii_55464,15,2760472,hypothetical protein,,,0.049188906,QP metagenomes
ARFY01000030,1120974.3.peg.2414,53665,Alistipes_onderdonkii_55464,15,2760701,hypothetical protein,,,0.04404763,QP metagenomes
ARFY01000030,1120974.3.peg.2414,53692,Alistipes_onderdonkii_55464,15,2760728,hypothetical protein,,,0.042546974,QP metagenomes
ARFY01000030,1120974.3.peg.2521,195550,Alistipes_onderdonkii_55464,16,2902586,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.11636445,QP metagenomes
ARFY01000030,1120974.3.peg.2521,195557,Alistipes_onderdonkii_55464,16,2902593,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.091701991,QP metagenomes
ARFY01000030,1120974.3.peg.2521,195611,Alistipes_onderdonkii_55464,16,2902647,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.086968034,QP metagenomes
ARFY01000030,1120974.3.peg.2521,195697,Alistipes_onderdonkii_55464,16,2902733,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.108376522,QP metagenomes
ARFY01000030,1120974.3.peg.2521,195924,Alistipes_onderdonkii_55464,16,2902960,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.101250611,QP metagenomes
ARFY01000030,1120974.3.peg.2521,196067,Alistipes_onderdonkii_55464,16,2903103,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.142117811,QP metagenomes
ARFY01000030,1120974.3.peg.2521,196670,Alistipes_onderdonkii_55464,16,2903706,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.129849238,QP metagenomes
ARFY01000030,1120974.3.peg.2521,196712,Alistipes_onderdonkii_55464,16,2903748,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.158663203,QP metagenomes
ARFY01000030,1120974.3.peg.2521,197013,Alistipes_onderdonkii_55464,16,2904049,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.085070373,QP metagenomes
ARFY01000030,1120974.3.peg.2521,197160,Alistipes_onderdonkii_55464,16,2904196,UbiD family decarboxylase associated with menaquinone via futalosine,,,0.147626361,QP metagenomes
ARFY01000030,1120974.3.peg.2702,387579,Alistipes_onderdonkii_55464,17,3094615,outer membrane efflux protein,,,0.176159579,QP metagenomes
ARFY01000030,1120974.3.peg.2702,387074,Alistipes_onderdonkii_55464,17,3094110,outer membrane efflux protein,,,0.14648514,QP metagenomes
ARFY01000030,1120974.3.peg.2702,387618,Alistipes_onderdonkii_55464,17,3094654,outer membrane efflux protein,,,0.199412705,QP metagenomes
ARFY01000030,1120974.3.peg.2704,388285,Alistipes_onderdonkii_55464,17,3095321,hypothetical protein,,,0.15425125,QP metagenomes
ARFY01000031,1120974.3.peg.2809,19830,Alistipes_onderdonkii_55464,18,3203894,Glutaryl-7-ACA acylase,,,0.079178337,QP metagenomes
ARFY01000031,1120974.3.peg.2809,19625,Alistipes_onderdonkii_55464,18,3203689,Glutaryl-7-ACA acylase,,,0.084687677,QP metagenomes
ARFY01000032,1120974.3.peg.3216,495519,Alistipes_onderdonkii_55464,19,3719534,putative L-arabinose isomerase,,,0.116039853,QP metagenomes
ARFY01000032,1120974.3.peg.3219,502235,Alistipes_onderdonkii_55464,19,3726250,hypothetical protein,,,0.066394796,QP metagenomes
ARFY01000032,1120974.3.peg.3216,495256,Alistipes_onderdonkii_55464,19,3719271,putative L-arabinose isomerase,,,0.133539366,QP metagenomes
ARFY01000032,1120974.3.peg.3221,503831,Alistipes_onderdonkii_55464,19,3727846,hypothetical protein,,,0.07148915,QP metagenomes
ARFY01000032,1120974.3.peg.3295,591091,Alistipes_onderdonkii_55464,20,3815106,3'-5' exonuclease domain protein,,,0.168824786,QP metagenomes
ARFY01000032,1120974.3.peg.3294,590198,Alistipes_onderdonkii_55464,20,3814213,23S rRNA (cytosine(1962)-C(5))-methyltransferase (EC 2.1.1.191),,,0.180926968,QP metagenomes
FP929032,717959.3.peg.2083,627322,Alistipes_shahii_62199,1,627322,putative pyrogenic exotoxin B,,,0.5746867,QP metagenomes
FP929032,717959.3.peg.2083,627740,Alistipes_shahii_62199,1,627740,putative pyrogenic exotoxin B,,,0.448190404,QP metagenomes
FP929032,717959.3.peg.2083,627289,Alistipes_shahii_62199,1,627289,putative pyrogenic exotoxin B,,,0.812882238,QP metagenomes
FP929032,717959.3.peg.2083,627256,Alistipes_shahii_62199,1,627256,putative pyrogenic exotoxin B,,,0.335149957,QP metagenomes
FP929032,717959.3.peg.2083,627805,Alistipes_shahii_62199,1,627805,putative pyrogenic exotoxin B,,,0.361376181,QP metagenomes
FP929032,717959.3.peg.2435,977185,Alistipes_shahii_62199,2,977185,hypothetical protein,,,0.448760882,QP metagenomes
